,k,x,reward,patch_label,regret,m,q,simul_id
8,2.0,[   3.          227.3289212  -129.49611506],0.0,Speaker,1.0,0.0,5.0,0
16,1.0,[  1.         591.65816756 142.46516621],0.0,STS,1.0,0.0,5.0,0
21,4.0,[  2.         847.56193287  -2.65868703],0.0,non_Speaker,1.0,0.0,5.0,0
30,2.0,[  3.         265.17012083 -16.95182046],1.0,Speaker,0.0,0.0,5.0,0
40,3.0,[  2.         571.07440956  -4.04818009],0.0,non_Speaker,1.0,0.0,5.0,0
52,5.0,[  2.          41.27841706 -64.68243684],0.0,non_Speaker,1.0,0.0,5.0,0
57,5.0,[   2.          255.22612973 -170.0008418 ],0.0,non_Speaker,1.0,0.0,5.0,0
63,3.0,[  2.          51.71125712 -58.98115764],1.0,non_Speaker,0.0,0.0,5.0,0
71,5.0,[   2.          827.55057079 -178.73194136],0.0,non_Speaker,1.0,0.0,5.0,0
85,3.0,[  2.          53.31923821 -56.21734795],1.0,non_Speaker,0.0,0.0,5.0,0
90,4.0,[   2.          265.75059915 -168.42704635],0.0,non_Speaker,1.0,0.0,5.0,0
94,4.0,[   2.          272.67312974 -177.20133217],1.0,non_Speaker,0.0,0.0,5.0,0
100,2.0,[   3.          257.12289386 -168.94265398],0.0,Speaker,1.0,0.0,5.0,0
106,2.0,[   3.          239.55552616 -165.91118715],1.0,Speaker,0.0,0.0,5.0,0
136,2.0,[  3.          51.61773023 -43.1662804 ],1.0,Speaker,0.0,0.0,5.0,0
142,5.0,[  2.         241.84178876   2.29478793],0.0,non_Speaker,1.0,0.0,5.0,0
158,4.0,[   2.          366.5239074  -178.23122766],0.0,non_Speaker,1.0,0.0,5.0,0
167,3.0,[  2.          38.179945   -60.76020035],0.0,non_Speaker,1.0,0.0,5.0,0
176,3.0,[  2.         201.25044537  -7.22591861],0.0,non_Speaker,1.0,0.0,5.0,0
186,5.0,[   2.           62.3626589  -121.24833686],1.0,non_Speaker,0.0,0.0,5.0,0
188,2.0,[  3.         842.80753165  -1.10920792],0.0,Speaker,1.0,0.0,5.0,0
194,4.0,[  2.         558.59674063  -5.88921412],0.0,non_Speaker,1.0,0.0,5.0,0
207,5.0,[   2.           43.65485472 -132.24726393],1.0,non_Speaker,0.0,0.0,5.0,0
211,1.0,[  1.         570.90182187  -5.06404849],0.0,STS,1.0,0.0,5.0,0
219,2.0,[  3.         515.01611602  -5.49475412],0.0,Speaker,1.0,0.0,5.0,0
225,0.0,[  0.         225.38520358 151.33636573],0.0,CB,1.0,0.0,5.0,0
228,4.0,[   2.          225.37499251 -167.88120807],0.0,non_Speaker,1.0,[ 0.00014928  0.02035113 -0.01322546],[ 1.00199896 40.35065301 15.72634963],0
231,2.0,[  3.          72.39843506 -68.40173653],1.0,Speaker,0.0,[ 0.00341303  0.05875072 -0.04912448],[1.02714914 9.04011616 6.62082261],0
240,4.0,[   2.          213.36966894 -166.36052778],1.0,non_Speaker,0.0,[ 0.00015485  0.02035324 -0.01322165],[ 1.00438961 70.70697111 32.57116102],0
247,3.0,[  2.          70.64361472 -78.86028572],0.0,non_Speaker,1.0,[ 0.00197496  0.05188846 -0.05682973],[ 1.01989797 12.12212095 18.32310592],0
253,3.0,[  2.         291.82336815 -12.7314706 ],0.0,non_Speaker,1.0,[ 0.00197485  0.05188857 -0.05682981],[ 1.02052396 12.903249   19.2964866 ],0
258,2.0,[  3.         530.04312857  -5.44709285],0.0,Speaker,1.0,[ 0.00335689  0.0595172  -0.05043402],[1.02679871 9.52671038 7.19382925],0
267,2.0,[ 3.00000000e+00  5.52664463e+02 -4.47354637e-01],0.0,Speaker,1.0,[ 0.00335424  0.05951836 -0.05043291],[1.02679861 9.52668244 7.19381018],0
272,4.0,[  2.         324.8855533   -4.99944325],0.0,non_Speaker,1.0,[ 0.00020395  0.02295037 -0.01725636],[ 1.00208666 29.57597951 15.73802276],0
280,2.0,[  3.         534.51810766  -5.93967356],0.0,Speaker,1.0,[ 0.00335727  0.05951832 -0.05043362],[1.02679759 9.52634721 7.19356301],0
